key,english,arabic,sources,placeholders,status
Room Type Code (e.g. STD),Room Type Code (e.g. STD),رمز نوع الغرفة (مثل STD),screens/Setup.tsx,,translated
Room Type Name (e.g. Standard Room),Room Type Name (e.g. Standard Room),اسم نوع الغرفة (مثل غرفة قياسية),screens/Setup.tsx,,translated
Room board,Room board,لوحة الغرف,screens/Today.tsx,,translated
"Room numbers per type, comma-separated.","Room numbers per type, comma-separated.",أرقام الغرف لكل نوع، مفصولة بفواصل.,screens/Setup.tsx,,translated
Room only,Room only,غرفة فقط,components/BookingDialog.tsx,,translated
Room type,Room type,نوع الغرفة,components/BookingDialog.tsx,,translated
Room {num},Room {num},غرفة {num},components/CheckInDialog.tsx,num,translated
Room {num} is assigned,Room {num} is assigned,غرفة {num} مخصصة,components/CheckInDialog.tsx,num,translated
Room {n},Room {n},غرفة {n},screens/Laundry.tsx; screens/TapeChart.tsx; screens/Tickets.tsx; screens/Today.tsx,n,translated
Room {n} assigned.,Room {n} assigned.,تم تعيين غرفة {n}.,components/BookingDialog.tsx,n,translated
Rooms,Rooms,الغرف,screens/HkApp.tsx,,translated
"Rooms are matched to each guest's type and preferences. Assigning places them now; ""Review"" flags a choice worth a second look.","Rooms are matched to each guest's type and preferences. Assigning places them now; ""Review"" flags a choice worth a second look.","تُطابق الغرف نوع كل ضيف وتفضيلاته. التعيين يضعهم الآن؛ ""مراجعة"" تعلّم اختياراً يستحق نظرة ثانية.",screens/TapeChart.tsx,,translated
Rooms sold,Rooms sold,غرف مباعة,screens/Dashboard.tsx,,translated
Room…,Room…,غرفة…,screens/Laundry.tsx,,translated
Run night audit,Run night audit,تشغيل تدقيق الليل,screens/Billing.tsx,,translated
Running tables,Running tables,طاولات شغّالة,screens/POS.tsx,,translated
Running…,Running…,جارٍ التشغيل…,screens/Billing.tsx,,translated
SAC,SAC,SAC,screens/FolioView.tsx,,translated
SGST ({rate}%),SGST ({rate}%),SGST ({rate}%),screens/POS.tsx,rate,translated
SLA breached,SLA breached,خُرق مستوى الخدمة,screens/Tickets.tsx,,translated
Save,Save,حفظ,components/ResourceScreen.tsx; screens/Laundry.tsx; screens/Settings.tsx,,translated
Saved,Saved,تم الحفظ,screens/Settings.tsx,,translated
Saving…,Saving…,جارٍ الحفظ…,components/ResourceScreen.tsx; screens/Settings.tsx,,translated
Search,Search,بحث,screens/CRS.tsx,,translated
"Search a guest, phone, booking or invoice.","Search a guest, phone, booking or invoice.",ابحث عن ضيف أو هاتف أو حجز أو فاتورة.,components/CommandPalette.tsx,,translated
"Search a guest, phone, booking, invoice - or jump to any screen…","Search a guest, phone, booking, invoice - or jump to any screen…",ابحث عن ضيف أو هاتف أو حجز أو فاتورة - أو انتقل لأي شاشة…,components/CommandPalette.tsx,,translated
Search menu items…,Search menu items…,بحث في عناصر القائمة…,screens/POS.tsx,,translated
"Search reservations, guests, rooms…","Search reservations, guests, rooms…",ابحث عن الحجوزات والضيوف والغرف…,AppShell.tsx,,translated
Search table…,Search table…,بحث في الجدول…,screens/POS.tsx,,translated
"Search: find a guest or booking, or jump anywhere - press {combo}","Search: find a guest or booking, or jump anywhere - press {combo}",بحث: اعثر على ضيف أو حجز، أو انتقل لأي مكان - اضغط {combo},AppShell.tsx,combo,translated
Search…,Search…,بحث…,components/ResourceScreen.tsx,,translated
Secret (shown once),Secret (shown once),السر (يُعرض مرة واحدة),screens/Marketplace.tsx,,translated
Security Deposit Amount,Security Deposit Amount,مبلغ التأمين,screens/Setup.tsx,,translated
Select,Select,اختر,screens/FolioView.tsx,,translated
Select charge,Select charge,اختر الرسوم,screens/FolioView.tsx,,translated
Send,Send,إرسال,screens/WhatsAppChat.tsx,,translated
Send back,Send back,إعادة,screens/HkApp.tsx,,translated
Send to kitchen,Send to kitchen,إرسال للمطبخ,screens/POS.tsx,,translated
Send to laundry,Send to laundry,إرسال للغسيل,screens/Laundry.tsx,,translated
Send {cur}{amount} to,Send {cur}{amount} to,أرسل {cur}{amount} إلى,screens/FolioView.tsx,amount cur,translated
Service,Service,الخدمة,screens/Laundry.tsx,,translated
Service Tickets,Service Tickets,تذاكر الخدمة,screens/Tickets.tsx,,translated
Session,Session,الجلسة,screens/Banquet.tsx,,translated
Set,Set,تعيين,screens/TapeChart.tsx,,translated
Set PIN,Set PIN,تعيين الرمز,components/PinPad.tsx; screens/FolioView.tsx,,translated
Set for corporate business - it also decides which folio the bill lands on.,Set for corporate business - it also decides which folio the bill lands on.,للأعمال الشركاتية - يحدد أيضاً أي فاتورة تستلم الفاتورة.,screens/Banquet.tsx,,translated
Set up,Set up,إعداد,screens/Marketplace.tsx,,translated
Set up a new property,Set up a new property,إعداد عقار جديد,screens/Setup.tsx,,translated
Set your cashier PIN to post payments and settle folios.,Set your cashier PIN to post payments and settle folios.,عيّن رمز أمين الصندوق لترحيل المدفوعات وتسوية الفواتير.,screens/FolioView.tsx,,translated
Settle,Settle,تسوية,screens/POS.tsx,,translated
Settle & continue stay,Settle & continue stay,تسوية ومتابعة الإقامة,screens/FolioView.tsx,,translated
Settle / post to room,Settle / post to room,تسوية / ترحيل للغرفة,screens/POS.tsx,,translated
Shared,Shared,مشترك,screens/Setup.tsx,,translated
Shared playground — not your hotel. Data is wiped every night.,Shared playground — not your hotel. Data is wiped every night.,ملعب مشترك — ليس فندقك. تُمسح البيانات كل ليلة.,AppShell.tsx,,translated
"Shared playground, not a live hotel. Play data is wiped every night and the sample hotel is seeded again. Don't put real guests, payments or API keys here.","Shared playground, not a live hotel. Play data is wiped every night and the sample hotel is seeded again. Don't put real guests, payments or API keys here.",ملعب مشترك، ليس فندقاً حياً. تُمسح بيانات التجربة كل ليلة ويُعاد تهيئة الفندق النموذجي. لا تضع ضيوفًا أو مدفوعات أو مفاتيح API حقيقية هنا.,screens/Login.tsx,,translated
Shift report,Shift report,تقرير الوردية,screens/CashierTill.tsx,,translated
Shortage,Shortage,نقص,screens/Laundry.tsx,,translated
Show PMS menus (Esc),Show PMS menus (Esc),إظهار قوائم النظام (Esc),screens/Kitchen.tsx; screens/POS.tsx,,translated
Show closed,Show closed,إظهار المغلق,screens/Tickets.tsx,,translated
Show menus / exit full screen,Show menus / exit full screen,إظهار القوائم / الخروج من ملء الشاشة,screens/POS.tsx,,translated
Sign in,Sign in,تسجيل الدخول,screens/Login.tsx,,translated
Sign out,Sign out,تسجيل الخروج,AppShell.tsx; screens/HkApp.tsx,,translated
Signing in...,Signing in...,جارٍ تسجيل الدخول...,screens/Login.tsx,,translated
Smaller than the pax count,Smaller than the pax count,أصغر من عدد الضيوف,screens/Banquet.tsx,,translated
Soft hold you can sell over,Soft hold you can sell over,حجز مرن يمكن البيع فوقه,screens/Banquet.tsx,,translated
Sound {state},Sound {state},الصوت {state},screens/Kitchen.tsx,state,translated
Source,Source,المصدر,screens/Today.tsx,,translated
Split,Split,تقسيم,screens/POS.tsx,,translated
Split folio,Split folio,تقسيم الفاتورة,screens/FolioView.tsx,,translated
Start,Start,بدء,screens/HkApp.tsx; screens/Tickets.tsx,,translated
Start / accept,Start / accept,بدء / قبول,screens/Kitchen.tsx,,translated
State,State,الولاية,screens/Setup.tsx,,translated
Statistics (month to date),Statistics (month to date),إحصاءات (من بداية الشهر),screens/Dashboard.tsx,,translated
Status,Status,الحالة,screens/Banquet.tsx; screens/Billing.tsx; screens/Laundry.tsx,,translated
Stay,Stay,إقامة,screens/FolioView.tsx; screens/Today.tsx,,translated
Stays,Stays,الإقامات,screens/Guests.tsx,,translated
Still in play,Still in play,لا يزال قيد التنفيذ,screens/Banquet.tsx,,translated
Subject,Subject,الموضوع,screens/Tickets.tsx,,translated
Subtotal,Subtotal,المجموع الفرعي,screens/POS.tsx,,translated
Suggested room plan for {date},Suggested room plan for {date},خطة غرف مقترحة لـ {date},screens/TapeChart.tsx,date,translated
Summary,Summary,الملخص,screens/FolioView.tsx,,translated
Switch app,Switch app,تبديل التطبيق,AppShell.tsx,,translated
Switch to dark mode,Switch to dark mode,التبديل إلى الوضع الداكن,AppShell.tsx,,translated
Switch to light mode,Switch to light mode,التبديل إلى الوضع الفاتح,AppShell.tsx,,translated
System,System,النظام,screens/Settings.tsx,,translated
Table note,Table note,ملاحظة الطاولة,screens/Kitchen.tsx,,translated
Tables,Tables,الطاولات,screens/POS.tsx,,translated
Tables & running bills,Tables & running bills,الطاولات والفواتير الجارية,screens/POS.tsx,,translated
Take this room,Take this room,خذ هذه الغرفة,screens/HkApp.tsx,,translated
Taken,Taken,مأخوذ,screens/Banquet.tsx,,translated
Tap an occupied room to post minibar or laundry.,Tap an occupied room to post minibar or laundry.,انقر غرفة مشغولة لترحيل ميني بار أو غسيل.,screens/HkApp.tsx,,translated
Tap menu items to add.,Tap menu items to add.,انقر عناصر القائمة للإضافة.,screens/POS.tsx,,translated
Tape chart,Tape chart,مخطط الغرف,screens/TapeChart.tsx,,translated
Tax Invoice,Tax Invoice,فاتورة ضريبية,screens/FolioView.tsx,,translated
Thanks - our team will reach out about {name}.,Thanks - our team will reach out about {name}.,شكراً - سيتواصل فريقنا بشأن {name}.,screens/Marketplace.tsx,name,translated
That date has already passed.,That date has already passed.,هذا التاريخ قد مضى بالفعل.,components/BookingDialog.tsx,,translated
The hall's rack rental goes on as the first line - the number the conversation starts from.,The hall's rack rental goes on as the first line - the number the conversation starts from.,إيجار القاعة الأساسي يُضاف كأول بند - الرقم الذي تبدأ منه المحادثة.,screens/Banquet.tsx,,translated
The whole portfolio at a glance.,The whole portfolio at a glance.,المحفظة بالكامل بنظرة واحدة.,screens/Dashboard.tsx,,translated
Theme,Theme,المظهر,AppShell.tsx; screens/Settings.tsx,,translated
Theme (system),Theme (system),المظهر (النظام),AppShell.tsx,,translated
Thinking...,Thinking...,جارٍ التفكير...,screens/TapeChart.tsx,,translated
This closes the bag without billing. Tell us why — it's recorded on the order.,This closes the bag without billing. Tell us why — it's recorded on the order.,يغلق هذا الحقيبة دون فوترة. أخبرنا لماذا — يُسجَّل على الطلب.,screens/Laundry.tsx,,translated
This is a computer-generated tax invoice under the GST Act.,This is a computer-generated tax invoice under the GST Act.,هذه فاتورة ضريبية مولّدة حاسوبياً بموجب قانون GST.,screens/FolioView.tsx,,translated
This property,This property,هذا العقار,screens/Dashboard.tsx,,translated
Tick the lines moving to the new bill.,Tick the lines moving to the new bill.,حدد البنود المنقولة إلى الفاتورة الجديدة.,screens/POS.tsx,,translated
Ticket {kot} {dest},Ticket {kot} {dest},تذكرة {kot} {dest},screens/Kitchen.tsx,dest kot,translated
Times drive the house position: back-to-back rooms flag a conflict when the arrival lands before the departure.,Times drive the house position: back-to-back rooms flag a conflict when the arrival lands before the departure.,الأوقات تحدد موقع الفندق: الغرف المتتالية تعلّم تعارضاً عندما يصل الضيف قبل مغادرة السابق.,screens/TapeChart.tsx,,translated
To,To,إلى,screens/Banquet.tsx,,translated
Today,Today,اليوم,screens/Today.tsx,,translated
"Today at this property, by department.","Today at this property, by department.",اليوم في هذا العقار، حسب القسم.,screens/Dashboard.tsx,,translated
Tomorrow,Tomorrow,غداً,screens/Today.tsx,,translated
Total,Total,الإجمالي,components/BookingDialog.tsx; screens/Laundry.tsx; screens/POS.tsx; screens/Reports.tsx,,translated
Total {cur},Total {cur},الإجمالي {cur},screens/Billing.tsx; screens/FolioView.tsx,cur,translated
Type,Type,النوع,screens/Banquet.tsx,,translated
Type to find or create,Type to find or create,اكتب للبحث أو الإنشاء,components/BookingDialog.tsx,,translated
UPI,UPI,UPI,screens/CashierTill.tsx,,translated
Unassigned,Unassigned,غير مخصص,screens/Today.tsx,,translated
Undo NC,Undo NC,تراجع عن المجاني,screens/POS.tsx,,translated
Undo — put it back on the board,Undo — put it back on the board,تراجع — أعده إلى اللوحة,screens/Kitchen.tsx,,translated
"Unit / room numbers per listing, comma-separated.","Unit / room numbers per listing, comma-separated.",أرقام الوحدات / الغرف لكل قائمة، مفصولة بفواصل.,screens/Setup.tsx,,translated
Unlock,Unlock,فتح القفل,components/PinPad.tsx; screens/FolioView.tsx,,translated
Unpaid,Unpaid,غير مدفوع,screens/Today.tsx,,translated
Update stay,Update stay,تحديث الإقامة,screens/TapeChart.tsx,,translated
Updating quote,Updating quote,تحديث العرض,components/BookingDialog.tsx,,translated
Upload CSV file,Upload CSV file,رفع ملف CSV,screens/Setup.tsx,,translated
VIP,VIP,VIP,components/BookingDialog.tsx; components/CheckInDialog.tsx; screens/Guests.tsx; screens/HkApp.tsx; screens/TapeChart.tsx,,translated
Vacation rental,Vacation rental,إيجار عطلات,screens/Setup.tsx,,translated
Value,Value,القيمة,screens/Banquet.tsx,,translated
Variance,Variance,الفارق,screens/CashierTill.tsx,,translated
Veg,Veg,نباتي,screens/Kitchen.tsx; screens/POS.tsx,,translated
View all apps,View all apps,عرض كل التطبيقات,AppShell.tsx,,translated
View bill,View bill,عرض الفاتورة,screens/POS.tsx,,translated
Villa,Villa,فيلا,screens/Setup.tsx,,translated
Void,Void,إبطال,screens/FolioView.tsx,,translated
Void this charge,Void this charge,إبطال هذه الرسوم,screens/FolioView.tsx,,translated
Voucher,Voucher,قسيمة,components/BookingDialog.tsx,,translated
Waitlist,Waitlist,قائمة الانتظار,components/BookingDialog.tsx,,translated
Waitlisted · {ref},Waitlisted · {ref},قائمة انتظار · {ref},components/BookingDialog.tsx,ref,translated
Waive the fee (logged - manager's call),Waive the fee (logged - manager's call),إعفاء من الرسوم (مُسجَّل - قرار المدير),components/CancelPanel.tsx,,translated
Webhook URL,Webhook URL,رابط Webhook,screens/Marketplace.tsx,,translated
Weekend nightly price (optional),Weekend nightly price (optional),سعر ليلة نهاية الأسبوع (اختياري),screens/Setup.tsx,,translated
What does the guest need?,What does the guest need?,ماذا يحتاج الضيف؟,screens/Tickets.tsx,,translated
"What is it? (Staff uniforms, Pool towels…)","What is it? (Staff uniforms, Pool towels…)",ما هو؟ (زي الموظفين، مناشف المسبح…),screens/Laundry.tsx,,translated
What is it? (e.g. black umbrella),What is it? (e.g. black umbrella),ما هو؟ (مثل مظلة سوداء),screens/HkApp.tsx,,translated
What they asked for,What they asked for,ما طلبوه,screens/Banquet.tsx,,translated
"What this money is: against the bill, an advance, or a refundable deposit","What this money is: against the bill, an advance, or a refundable deposit",ما هذا المال: مقابل الفاتورة، أو مقدمة، أو تأمين قابل للاسترداد,screens/FolioView.tsx,,translated
WhatsApp,WhatsApp,واتساب,screens/WhatsAppChat.tsx,,translated
When,When,متى,screens/CashierTill.tsx,,translated
Where the months are landing,Where the months are landing,أين تهبط الأشهر,screens/Banquet.tsx,,translated
Which hall - free for these dates and hours,Which hall - free for these dates and hours,أي قاعة - متاحة لهذه التواريخ والساعات,screens/Banquet.tsx,,translated
Which system is this export from?,Which system is this export from?,من أي نظام هذا التصدير؟,screens/Setup.tsx,,translated
Whose function is this?,Whose function is this?,لمن هذه المناسبة؟,screens/Banquet.tsx,,translated
Why business went away,Why business went away,لماذا ذهب العمل,screens/Banquet.tsx,,translated
"Wrong email, username, or password.","Wrong email, username, or password.",البريد الإلكتروني أو اسم المستخدم أو كلمة المرور غير صحيحة.,screens/Login.tsx,,translated
You,You,أنت,screens/WhatsAppChat.tsx,,translated
Your apps,Your apps,تطبيقاتك,screens/AppLauncher.tsx,,translated
Your session ended. Sign in to pick up where you left off.,Your session ended. Sign in to pick up where you left off.,انتهت جلستك. سجّل الدخول للمتابعة من حيث توقفت.,screens/Login.tsx,,translated
allergy,allergy,حساسية,screens/Kitchen.tsx,,translated
applies to this browser only,applies to this browser only,ينطبق على هذا المتصفح فقط,screens/Settings.tsx,,translated
arrival today,arrival today,وصول اليوم,screens/HkApp.tsx,,translated
arrival {eta},arrival {eta},وصول {eta},screens/HkApp.tsx,eta,translated
assigned to you,assigned to you,مخصص لك,screens/HkApp.tsx,,translated
auth,auth,تفويض,screens/POS.tsx,,translated
before GST,before GST,قبل GST,screens/FolioView.tsx,,translated
by event date,by event date,حسب تاريخ المناسبة,screens/Banquet.tsx,,translated
check-in,check-in,تسجيل الوصول,components/CommandPalette.tsx,,translated
collected {n},collected {n},تم تحصيل {n},screens/Laundry.tsx,n,translated
comp,comp,مجاني,screens/Laundry.tsx,,translated
confirmed,confirmed,مؤكد,screens/Banquet.tsx,,translated
copy check-in link,copy check-in link,نسخ رابط تسجيل الوصول,screens/Today.tsx,,translated
dates read as {format},dates read as {format},تُقرأ التواريخ كـ {format},screens/Setup.tsx,format,translated
due,due,مستحق,screens/Banquet.tsx; screens/Tickets.tsx; screens/Today.tsx,,translated
"e.g. 2 cola, 1 water","e.g. 2 cola, 1 water",مثال: 2 كولا، 1 ماء,screens/HkApp.tsx,,translated
e.g. 3 shirts pressed,e.g. 3 shirts pressed,مثال: 3 قمصان مكوية,screens/HkApp.tsx,,translated
eZee export,eZee export,تصدير eZee,screens/Setup.tsx,,translated
elapsed,elapsed,منقضي,screens/Kitchen.tsx,,translated
express,express,مستعجل,screens/Laundry.tsx,,translated
from,from,من,components/ResourceScreen.tsx,,translated
held,held,معلّق,screens/Kitchen.tsx,,translated
house,house,الفندق,screens/Laundry.tsx,,translated
in play,in play,قيد التنفيذ,screens/Banquet.tsx,,translated
"is live. Bring your existing bookings over — paste a CSV, or let the AI migration assistant do the mapping via MCP.","is live. Bring your existing bookings over — paste a CSV, or let the AI migration assistant do the mapping via MCP.",يعمل الآن. انقل حجوزاتك الحالية — الصق CSV، أو دع مساعد ترحيل الذكاء الاصطناعي يقوم بالمطابقة عبر MCP.,screens/Setup.tsx,,translated
less,less,أقل,screens/Laundry.tsx,,translated
month to date,month to date,من بداية الشهر,screens/Dashboard.tsx,,translated
more,more,المزيد,screens/Laundry.tsx,,translated
move only,move only,نقل فقط,screens/FolioView.tsx,,translated
never,never,أبداً,screens/Guests.tsx,,translated
not posted,not posted,غير مُرحَّل,screens/Laundry.tsx,,translated
occupied,occupied,مشغولة,screens/Today.tsx,,translated
of,of,من,screens/Kitchen.tsx,,translated
off,off,إيقاف,screens/Kitchen.tsx,,translated
on,on,تشغيل,screens/Kitchen.tsx,,translated
or paste it below,or paste it below,أو الصقه أدناه,screens/Setup.tsx,,translated
overdue,overdue,متأخر,screens/HkApp.tsx; screens/Laundry.tsx; screens/Tickets.tsx,,translated
overnight stay,overnight stay,إقامة ليلية,screens/TapeChart.tsx,,translated
owes {cur}{amount},owes {cur}{amount},مستحق عليه {cur}{amount},screens/FolioView.tsx,amount cur,translated
"posted {n} room night{s} ({amount}), opened {folios} folio{s2}, flagged {noShows} no-show{s3}.","posted {n} room night{s} ({amount}), opened {folios} folio{s2}, flagged {noShows} no-show{s3}.",رحّل {n} ليلة غرفة{s} ({amount})، فتح {folios} فاتورة{s2}، علّم {noShows} لم يحضر{s3}.,screens/Billing.tsx,amount folios n noShows s s2 s3,translated
ran {when},ran {when},شُغّل {when},screens/Billing.tsx,when,translated
ready,ready,جاهز,screens/Kitchen.tsx,,translated
receivable,receivable,مستحقات,screens/Dashboard.tsx,,translated
room rate / room sold,room rate / room sold,سعر الغرفة / غرفة مباعة,screens/Reports.tsx,,translated
room rev / room,room rev / room,إيراد الغرفة / غرفة,screens/Reports.tsx,,translated
room {room} · F&B {fnb} · other {other},room {room} · F&B {fnb} · other {other},غرفة {room} · مأكولات {fnb} · أخرى {other},screens/Reports.tsx,fnb other room,translated
seats {n},seats {n},مقاعد {n},screens/Banquet.tsx,n,translated
send links & updates to: {pref},send links & updates to: {pref},أرسل الروابط والتحديثات إلى: {pref},screens/Today.tsx,pref,translated
staying over,staying over,مقيم,screens/TapeChart.tsx,,translated
stay{s},stay{s},إقامة{s},components/BookingDialog.tsx,s,translated
taxable {cur}{amount},taxable {cur}{amount},خاضع للضريبة {cur}{amount},screens/FolioView.tsx,amount cur,translated
to,to,إلى,components/ResourceScreen.tsx; screens/TapeChart.tsx,,translated
to close,to close,للإغلاق,components/CommandPalette.tsx,,translated
to open,to open,للفتح,components/CommandPalette.tsx,,translated
to pick up a room.,to pick up a room.,لاستلام غرفة.,screens/HkApp.tsx,,translated
today,today,اليوم,screens/Dashboard.tsx,,translated
total,total,الإجمالي,screens/CRS.tsx,,translated
total spend / guest · {pax} pax,total spend / guest · {pax} pax,إجمالي الإنفاق / ضيف · {pax} ضيف,screens/Reports.tsx,pax,translated
"total, taxes in","total, taxes in",الإجمالي شامل الضرائب,screens/CRS.tsx,,translated
unchanged,unchanged,بدون تغيير,screens/Settings.tsx,,translated
via {name},via {name},عبر {name},screens/Today.tsx,name,translated
{amount} still to collect,{amount} still to collect,{amount} لا يزال للتحصيل,screens/Banquet.tsx,amount,translated
{avail} left · sleeps {cap} · {rate}/night,{avail} left · sleeps {cap} · {rate}/night,{avail} متبقية · تستوعب {cap} · {rate}/ليلة,screens/CRS.tsx,avail cap rate,translated
{course} held · {n},{course} held · {n},{course} معلّق · {n},screens/Kitchen.tsx,course n,translated
{cur}/adult/night,{cur}/adult/night,{cur}/بالغ/ليلة,screens/Setup.tsx,cur,translated
{cur}/night,{cur}/night,{cur}/ليلة,screens/Setup.tsx,cur,translated
{f} Floor,{f} Floor,طابق {f},screens/Today.tsx,f,translated
{guest} · open registration,{guest} · open registration,{guest} · فتح التسجيل,screens/Today.tsx,guest,translated
{header} (ignored),{header} (ignored),{header} (مُتجاهل),screens/Setup.tsx,header,translated
{label}: all,{label}: all,{label}: الكل,components/ResourceScreen.tsx,label,translated
{name} usually takes {min}+ - check the minimum spend applies.,{name} usually takes {min}+ - check the minimum spend applies.,{name} عادةً يأخذ {min}+ - تحقق من تطبيق الحد الأدنى للإنفاق.,screens/Banquet.tsx,min name,translated
{n} ad,{n} ad,{n} بالغ,screens/Today.tsx,n,translated
{n} adult{s},{n} adult{s},{n} بالغ{s},components/CheckInDialog.tsx; screens/Today.tsx,n s,translated
{n} booking{s} imported{history},{n} booking{s} imported{history},تم استيراد {n} حجز{s}{history},screens/Setup.tsx,history n s,translated
{n} changeover conflict{s},{n} changeover conflict{s},{n} تعارض تبديل{s},screens/TapeChart.tsx,n s,translated
{n} day{s} before arrival.,{n} day{s} before arrival.,{n} يوم{s} قبل الوصول.,components/CancelPanel.tsx,n s,translated
{n} functions on the books,{n} functions on the books,{n} مناسبة في الدفاتر,screens/Banquet.tsx,n,translated
{n} function{s} · {pax} pax,{n} function{s} · {pax} pax,{n} مناسبة{s} · {pax} ضيف,screens/Banquet.tsx,n pax s,translated
{n} item{s},{n} item{s},{n} بند{s},screens/Kitchen.tsx,n s,translated
{n} line{s},{n} line{s},{n} سطر{s},screens/FolioView.tsx,n s,translated
{n} line{s} · {cur}{amount} selected,{n} line{s} · {cur}{amount} selected,{n} سطر{s} · {cur}{amount} محدد,screens/FolioView.tsx,amount cur n s,translated
{n} night{s},{n} night{s},{n} ليلة{s},screens/FolioView.tsx; screens/Today.tsx,n s,translated
{n} night{s} · {amount} · {folios} folio{s2} · {noShows} no-show{s3},{n} night{s} · {amount} · {folios} folio{s2} · {noShows} no-show{s3},{n} ليلة{s} · {amount} · {folios} فاتورة{s2} · {noShows} لم يحضر{s3},screens/Billing.tsx,amount folios n noShows s s2 s3,translated
{n} overdue,{n} overdue,{n} متأخر,screens/Today.tsx,n,translated
{n} pc,{n} pc,{n} قطعة,screens/Laundry.tsx,n,translated
{n} pending,{n} pending,{n} قيد الانتظار,screens/Laundry.tsx,n,translated
{n} piece(s) short — why? (required),{n} piece(s) short — why? (required),{n} قطعة ناقصة — لماذا؟ (مطلوب),screens/Laundry.tsx,n,translated
"{n} propert{ies} with space · {nights} night{s}, {adults} adult{s2}{children}","{n} propert{ies} with space · {nights} night{s}, {adults} adult{s2}{children}",{n} عقار{ies} به مكان · {nights} ليلة{s}، {adults} بالغ{s2}{children},screens/CRS.tsx,adults children ies n nights s s2,translated
{n} ready to import,{n} ready to import,{n} جاهز للاستيراد,screens/Setup.tsx,n,translated
{n} rooms,{n} rooms,{n} غرف,screens/Dashboard.tsx,n,translated
{n} rooms · from {rate}/night,{n} rooms · from {rate}/night,{n} غرف · من {rate}/ليلة,screens/CRS.tsx,n rate,translated
{n} seats,{n} seats,{n} مقاعد,screens/POS.tsx,n,translated
{n} staying,{n} staying,{n} مقيم,screens/Today.tsx,n,translated
{n} task{s} for you - arrivals first,{n} task{s} for you - arrivals first,{n} مهمة{s} لك - الوصول أولاً,screens/HkApp.tsx,n s,translated
{n} tickets,{n} tickets,{n} تذاكر,screens/Kitchen.tsx,n,translated
{n} unassigned - take one to add it to your list,{n} unassigned - take one to add it to your list,{n} غير مخصص - خذ واحداً لإضافته لقائمتك,screens/HkApp.tsx,n,translated
{n} will be skipped,{n} will be skipped,سيتم تخطي {n},screens/Setup.tsx,n,translated
{n}{ord} Floor,{n}{ord} Floor,الطابق {n}{ord},screens/Today.tsx,n ord,translated
{occupied} of {total} rooms,{occupied} of {total} rooms,{occupied} من {total} غرف,screens/Today.tsx,occupied total,translated
{pct}% occupied · {occupied} of {total},{pct}% occupied · {occupied} of {total},{pct}% إشغال · {occupied} من {total},screens/Today.tsx,occupied pct total,translated
{rooms} rooms · {booked} in use,{rooms} rooms · {booked} in use,{rooms} غرف · {booked} قيد الاستخدام,screens/TapeChart.tsx,booked rooms,translated
{room} hasn't been cleaned yet - housekeeping will see the room flip to occupied.,{room} hasn't been cleaned yet - housekeeping will see the room flip to occupied.,{room} لم تُنظَّف بعد - سيرى التدبير المنزلي الغرفة تتحول إلى مشغولة.,components/CheckInDialog.tsx,room,translated
{sold} of {total} rooms,{sold} of {total} rooms,{sold} من {total} غرف,screens/Reports.tsx,sold total,translated
{tax} summary,{tax} summary,ملخص {tax},screens/FolioView.tsx,tax,translated
